year,carrier,hour,minute,time_hour,seconds
2013,DL,06,55,2013-01-31T06:00:00Z,:00
2013,AA,07,00,2013-01-31T07:00:00Z,:00
2013,UA,06,34,2013-01-31T06:00:00Z,:00
2013,B6,06,55,2013-01-31T06:00:00Z,:00
2013,DL,07,00,2013-01-31T07:00:00Z,:00
2013,DL,07,00,2013-01-31T07:00:00Z,:00
2013,DL,07,00,2013-01-31T07:00:00Z,:00
2013,UA,07,00,2013-01-31T07:00:00Z,:00
2013,UA,06,54,2013-01-31T06:00:00Z,:00
2013,DL,07,00,2013-01-31T07:00:00Z,:00
2013,B6,07,00,2013-01-31T07:00:00Z,:00
2013,DL,06,59,2013-01-31T06:00:00Z,:00
2013,AA,07,00,2013-01-31T07:00:00Z,:00
2013,B6,07,00,2013-01-31T07:00:00Z,:00
2013,VX,07,05,2013-01-31T07:00:00Z,:00
2013,DL,07,00,2013-01-31T07:00:00Z,:00
2013,UA,06,35,2013-01-31T06:00:00Z,:00
2013,EV,06,25,2013-01-31T06:00:00Z,:00
2013,AA,06,59,2013-01-31T06:00:00Z,:00
2013,UA,06,45,2013-01-31T06:00:00Z,:00
2013,B6,07,05,2013-01-31T07:00:00Z,:00
2013,UA,07,05,2013-01-31T07:00:00Z,:00
2013,WN,07,05,2013-01-31T07:00:00Z,:00
2013,UA,07,05,2013-01-31T07:00:00Z,:00
2013,UA,07,05,2013-01-31T07:00:00Z,:00
2013,UA,07,05,2013-01-31T07:00:00Z,:00
2013,MQ,07,10,2013-01-31T07:00:00Z,:00
2013,UA,07,00,2013-01-31T07:00:00Z,:00
2013,EV,06,34,2013-01-31T06:00:00Z,:00
2013,FL,07,20,2013-01-31T07:00:00Z,:00
2013,UA,07,15,2013-01-31T07:00:00Z,:00
2013,DL,07,20,2013-01-31T07:00:00Z,:00
2013,AA,07,15,2013-01-31T07:00:00Z,:00
2013,AS,07,25,2013-01-31T07:00:00Z,:00
2013,UA,07,20,2013-01-31T07:00:00Z,:00
2013,AA,07,30,2013-01-31T07:00:00Z,:00
2013,AA,07,30,2013-01-31T07:00:00Z,:00
2013,AA,07,15,2013-01-31T07:00:00Z,:00
2013,MQ,07,05,2013-01-31T07:00:00Z,:00
2013,DL,07,30,2013-01-31T07:00:00Z,:00
2013,B6,07,29,2013-01-31T07:00:00Z,:00
2013,UA,07,15,2013-01-31T07:00:00Z,:00
2013,B6,07,31,2013-01-31T07:00:00Z,:00
2013,VX,07,30,2013-01-31T07:00:00Z,:00
2013,EV,06,30,2013-01-31T06:00:00Z,:00
2013,B6,07,10,2013-01-31T07:00:00Z,:00
2013,UA,07,30,2013-01-31T07:00:00Z,:00
2013,DL,07,40,2013-01-31T07:00:00Z,:00
2013,B6,07,35,2013-01-31T07:00:00Z,:00
2013,AA,07,30,2013-01-31T07:00:00Z,:00
2013,UA,07,40,2013-01-31T07:00:00Z,:00
2013,AA,07,45,2013-01-31T07:00:00Z,:00
2013,UA,07,40,2013-01-31T07:00:00Z,:00
2013,AA,07,45,2013-01-31T07:00:00Z,:00
2013,EV,07,40,2013-01-31T07:00:00Z,:00
2013,UA,07,45,2013-01-31T07:00:00Z,:00
2013,DL,07,53,2013-01-31T07:00:00Z,:00
2013,AA,07,55,2013-01-31T07:00:00Z,:00
2013,B6,07,57,2013-01-31T07:00:00Z,:00
2013,B6,08,00,2013-01-31T08:00:00Z,:00
2013,B6,07,05,2013-01-31T07:00:00Z,:00
2013,WN,07,55,2013-01-31T07:00:00Z,:00
2013,DL,07,59,2013-01-31T07:00:00Z,:00
2013,UA,07,45,2013-01-31T07:00:00Z,:00
2013,US,07,59,2013-01-31T07:00:00Z,:00
2013,UA,08,00,2013-01-31T08:00:00Z,:00
2013,DL,08,00,2013-01-31T08:00:00Z,:00
2013,EV,08,03,2013-01-31T08:00:00Z,:00
2013,EV,07,59,2013-01-31T07:00:00Z,:00
2013,9E,08,05,2013-01-31T08:00:00Z,:00
2013,DL,08,10,2013-01-31T08:00:00Z,:00
2013,EV,07,59,2013-01-31T07:00:00Z,:00
2013,EV,06,30,2013-01-31T06:00:00Z,:00
2013,FL,08,10,2013-01-31T08:00:00Z,:00
2013,AA,08,10,2013-01-31T08:00:00Z,:00
2013,AA,08,10,2013-01-31T08:00:00Z,:00
2013,UA,07,59,2013-01-31T07:00:00Z,:00
2013,WN,08,00,2013-01-31T08:00:00Z,:00
2013,DL,08,15,2013-01-31T08:00:00Z,:00
2013,DL,08,10,2013-01-31T08:00:00Z,:00
2013,US,08,15,2013-01-31T08:00:00Z,:00
2013,9E,08,15,2013-01-31T08:00:00Z,:00
2013,B6,08,12,2013-01-31T08:00:00Z,:00
2013,DL,08,17,2013-01-31T08:00:00Z,:00
2013,DL,08,15,2013-01-31T08:00:00Z,:00
2013,MQ,08,15,2013-01-31T08:00:00Z,:00
2013,EV,07,59,2013-01-31T07:00:00Z,:00
2013,US,06,15,2013-01-31T06:00:00Z,:00
2013,EV,07,20,2013-01-31T07:00:00Z,:00
2013,EV,07,05,2013-01-31T07:00:00Z,:00
2013,9E,08,20,2013-01-31T08:00:00Z,:00
2013,B6,08,05,2013-01-31T08:00:00Z,:00
2013,EV,06,30,2013-01-31T06:00:00Z,:00
2013,EV,08,34,2013-01-31T08:00:00Z,:00
2013,EV,08,27,2013-01-31T08:00:00Z,:00
2013,9E,08,20,2013-01-31T08:00:00Z,:00
2013,MQ,08,20,2013-01-31T08:00:00Z,:00
2013,UA,08,30,2013-01-31T08:00:00Z,:00
2013,UA,07,59,2013-01-31T07:00:00Z,:00
2013,EV,08,03,2013-01-31T08:00:00Z,:00
2013,AA,08,30,2013-01-31T08:00:00Z,:00
2013,B6,07,47,2013-01-31T07:00:00Z,:00
2013,WN,08,30,2013-01-31T08:00:00Z,:00
2013,DL,08,30,2013-01-31T08:00:00Z,:00
2013,F9,08,30,2013-01-31T08:00:00Z,:00
2013,AA,08,30,2013-01-31T08:00:00Z,:00
2013,B6,08,28,2013-01-31T08:00:00Z,:00
2013,9E,08,30,2013-01-31T08:00:00Z,:00
2013,B6,08,19,2013-01-31T08:00:00Z,:00
2013,UA,08,40,2013-01-31T08:00:00Z,:00
2013,UA,08,30,2013-01-31T08:00:00Z,:00
2013,9E,08,40,2013-01-31T08:00:00Z,:00
2013,B6,08,40,2013-01-31T08:00:00Z,:00
2013,UA,08,34,2013-01-31T08:00:00Z,:00
2013,UA,08,30,2013-01-31T08:00:00Z,:00
2013,US,08,45,2013-01-31T08:00:00Z,:00
2013,UA,08,35,2013-01-31T08:00:00Z,:00
2013,AA,08,35,2013-01-31T08:00:00Z,:00
2013,AA,08,45,2013-01-31T08:00:00Z,:00
2013,EV,08,40,2013-01-31T08:00:00Z,:00
2013,9E,08,45,2013-01-31T08:00:00Z,:00
2013,B6,08,07,2013-01-31T08:00:00Z,:00
2013,B6,08,55,2013-01-31T08:00:00Z,:00
2013,DL,08,59,2013-01-31T08:00:00Z,:00
2013,EV,08,55,2013-01-31T08:00:00Z,:00
2013,9E,08,55,2013-01-31T08:00:00Z,:00
2013,AA,09,00,2013-01-31T09:00:00Z,:00
2013,B6,09,00,2013-01-31T09:00:00Z,:00
2013,UA,08,57,2013-01-31T08:00:00Z,:00
2013,UA,09,00,2013-01-31T09:00:00Z,:00
2013,DL,09,00,2013-01-31T09:00:00Z,:00
2013,AA,09,00,2013-01-31T09:00:00Z,:00
2013,B6,08,25,2013-01-31T08:00:00Z,:00
2013,US,06,30,2013-01-31T06:00:00Z,:00
2013,UA,09,00,2013-01-31T09:00:00Z,:00
2013,DL,09,00,2013-01-31T09:00:00Z,:00
2013,DL,09,00,2013-01-31T09:00:00Z,:00
2013,HA,09,00,2013-01-31T09:00:00Z,:00
2013,VX,09,05,2013-01-31T09:00:00Z,:00
2013,UA,09,00,2013-01-31T09:00:00Z,:00
2013,UA,09,04,2013-01-31T09:00:00Z,:00
2013,UA,09,03,2013-01-31T09:00:00Z,:00
2013,UA,09,00,2013-01-31T09:00:00Z,:00
2013,EV,09,08,2013-01-31T09:00:00Z,:00
2013,UA,08,57,2013-01-31T08:00:00Z,:00
2013,MQ,09,05,2013-01-31T09:00:00Z,:00
2013,UA,08,59,2013-01-31T08:00:00Z,:00
2013,MQ,08,50,2013-01-31T08:00:00Z,:00
2013,EV,08,50,2013-01-31T08:00:00Z,:00
2013,DL,08,27,2013-01-31T08:00:00Z,:00
2013,9E,07,50,2013-01-31T07:00:00Z,:00
2013,UA,09,06,2013-01-31T09:00:00Z,:00
2013,B6,09,15,2013-01-31T09:00:00Z,:00
2013,UA,09,08,2013-01-31T09:00:00Z,:00
2013,EV,08,43,2013-01-31T08:00:00Z,:00
2013,UA,07,00,2013-01-31T07:00:00Z,:00
2013,AA,09,20,2013-01-31T09:00:00Z,:00
2013,DL,09,05,2013-01-31T09:00:00Z,:00
2013,AA,09,20,2013-01-31T09:00:00Z,:00
2013,EV,09,24,2013-01-31T09:00:00Z,:00
2013,B6,09,05,2013-01-31T09:00:00Z,:00
2013,B6,09,28,2013-01-31T09:00:00Z,:00
2013,WN,09,25,2013-01-31T09:00:00Z,:00
2013,EV,08,22,2013-01-31T08:00:00Z,:00
2013,B6,09,30,2013-01-31T09:00:00Z,:00
2013,EV,09,29,2013-01-31T09:00:00Z,:00
2013,B6,09,21,2013-01-31T09:00:00Z,:00
2013,MQ,08,10,2013-01-31T08:00:00Z,:00
2013,B6,09,35,2013-01-31T09:00:00Z,:00
2013,B6,09,29,2013-01-31T09:00:00Z,:00
2013,VX,09,35,2013-01-31T09:00:00Z,:00
2013,AA,09,40,2013-01-31T09:00:00Z,:00
2013,EV,08,10,2013-01-31T08:00:00Z,:00
2013,9E,09,30,2013-01-31T09:00:00Z,:00
2013,AA,09,45,2013-01-31T09:00:00Z,:00
2013,EV,09,29,2013-01-31T09:00:00Z,:00
2013,B6,09,50,2013-01-31T09:00:00Z,:00
2013,UA,09,20,2013-01-31T09:00:00Z,:00
2013,B6,09,35,2013-01-31T09:00:00Z,:00
2013,WN,09,50,2013-01-31T09:00:00Z,:00
2013,9E,09,50,2013-01-31T09:00:00Z,:00
2013,B6,10,00,2013-01-31T10:00:00Z,:00
2013,B6,09,15,2013-01-31T09:00:00Z,:00
2013,MQ,09,55,2013-01-31T09:00:00Z,:00
2013,DL,10,00,2013-01-31T10:00:00Z,:00
2013,EV,10,06,2013-01-31T10:00:00Z,:00
2013,B6,09,59,2013-01-31T09:00:00Z,:00
2013,WN,09,45,2013-01-31T09:00:00Z,:00
2013,DL,10,00,2013-01-31T10:00:00Z,:00
2013,UA,09,58,2013-01-31T09:00:00Z,:00
2013,UA,09,55,2013-01-31T09:00:00Z,:00
2013,EV,08,58,2013-01-31T08:00:00Z,:00
2013,UA,10,00,2013-01-31T10:00:00Z,:00
2013,DL,10,05,2013-01-31T10:00:00Z,:00
2013,US,09,59,2013-01-31T09:00:00Z,:00
2013,UA,10,00,2013-01-31T10:00:00Z,:00
2013,MQ,08,40,2013-01-31T08:00:00Z,:00
2013,DL,09,00,2013-01-31T09:00:00Z,:00
2013,EV,10,06,2013-01-31T10:00:00Z,:00
2013,US,10,15,2013-01-31T10:00:00Z,:00
2013,US,10,15,2013-01-31T10:00:00Z,:00
2013,AA,10,20,2013-01-31T10:00:00Z,:00
2013,UA,10,15,2013-01-31T10:00:00Z,:00
2013,EV,08,29,2013-01-31T08:00:00Z,:00
2013,AA,10,30,2013-01-31T10:00:00Z,:00
2013,VX,10,30,2013-01-31T10:00:00Z,:00
2013,DL,10,30,2013-01-31T10:00:00Z,:00
2013,EV,10,32,2013-01-31T10:00:00Z,:00
2013,AA,10,30,2013-01-31T10:00:00Z,:00
2013,MQ,09,59,2013-01-31T09:00:00Z,:00
2013,B6,10,31,2013-01-31T10:00:00Z,:00
2013,UA,10,00,2013-01-31T10:00:00Z,:00
2013,US,10,00,2013-01-31T10:00:00Z,:00
2013,DL,10,45,2013-01-31T10:00:00Z,:00
2013,MQ,10,50,2013-01-31T10:00:00Z,:00
2013,MQ,08,35,2013-01-31T08:00:00Z,:00
2013,UA,10,43,2013-01-31T10:00:00Z,:00
2013,US,10,15,2013-01-31T10:00:00Z,:00
2013,MQ,10,10,2013-01-31T10:00:00Z,:00
2013,B6,10,39,2013-01-31T10:00:00Z,:00
2013,UA,10,56,2013-01-31T10:00:00Z,:00
2013,UA,10,50,2013-01-31T10:00:00Z,:00
2013,DL,10,16,2013-01-31T10:00:00Z,:00
2013,UA,10,52,2013-01-31T10:00:00Z,:00
2013,EV,09,57,2013-01-31T09:00:00Z,:00
2013,B6,10,59,2013-01-31T10:00:00Z,:00
2013,DL,11,00,2013-01-31T11:00:00Z,:00
2013,DL,10,21,2013-01-31T10:00:00Z,:00
2013,UA,11,00,2013-01-31T11:00:00Z,:00
2013,DL,11,00,2013-01-31T11:00:00Z,:00
2013,US,11,00,2013-01-31T11:00:00Z,:00
2013,UA,11,00,2013-01-31T11:00:00Z,:00
2013,MQ,11,00,2013-01-31T11:00:00Z,:00
2013,B6,10,50,2013-01-31T10:00:00Z,:00
2013,US,11,00,2013-01-31T11:00:00Z,:00
2013,EV,10,42,2013-01-31T10:00:00Z,:00
2013,B6,11,10,2013-01-31T11:00:00Z,:00
2013,US,10,00,2013-01-31T10:00:00Z,:00
2013,DL,11,14,2013-01-31T11:00:00Z,:00
2013,AA,11,15,2013-01-31T11:00:00Z,:00
2013,EV,10,15,2013-01-31T10:00:00Z,:00
2013,B6,11,29,2013-01-31T11:00:00Z,:00
2013,DL,11,25,2013-01-31T11:00:00Z,:00
2013,DL,11,30,2013-01-31T11:00:00Z,:00
2013,AA,11,25,2013-01-31T11:00:00Z,:00
2013,B6,11,25,2013-01-31T11:00:00Z,:00
2013,WN,11,30,2013-01-31T11:00:00Z,:00
2013,DL,11,34,2013-01-31T11:00:00Z,:00
2013,EV,11,33,2013-01-31T11:00:00Z,:00
2013,B6,11,29,2013-01-31T11:00:00Z,:00
2013,UA,11,30,2013-01-31T11:00:00Z,:00
2013,AA,11,40,2013-01-31T11:00:00Z,:00
2013,MQ,10,30,2013-01-31T10:00:00Z,:00
2013,UA,11,19,2013-01-31T11:00:00Z,:00
2013,UA,11,30,2013-01-31T11:00:00Z,:00
2013,FL,11,45,2013-01-31T11:00:00Z,:00
2013,9E,09,55,2013-01-31T09:00:00Z,:00
2013,DL,11,40,2013-01-31T11:00:00Z,:00
2013,WN,11,00,2013-01-31T11:00:00Z,:00
2013,UA,11,44,2013-01-31T11:00:00Z,:00
2013,DL,11,45,2013-01-31T11:00:00Z,:00
2013,WN,11,05,2013-01-31T11:00:00Z,:00
2013,MQ,11,15,2013-01-31T11:00:00Z,:00
2013,B6,11,55,2013-01-31T11:00:00Z,:00
2013,UA,12,00,2013-01-31T12:00:00Z,:00
2013,9E,11,55,2013-01-31T11:00:00Z,:00
2013,US,12,00,2013-01-31T12:00:00Z,:00
2013,MQ,12,00,2013-01-31T12:00:00Z,:00
2013,B6,08,10,2013-01-31T08:00:00Z,:00
2013,WN,12,05,2013-01-31T12:00:00Z,:00
2013,B6,12,10,2013-01-31T12:00:00Z,:00
2013,US,12,00,2013-01-31T12:00:00Z,:00
2013,WN,12,10,2013-01-31T12:00:00Z,:00
2013,DL,11,45,2013-01-31T11:00:00Z,:00
2013,EV,11,15,2013-01-31T11:00:00Z,:00
2013,MQ,11,35,2013-01-31T11:00:00Z,:00
2013,MQ,12,00,2013-01-31T12:00:00Z,:00
2013,B6,12,20,2013-01-31T12:00:00Z,:00
2013,AA,12,00,2013-01-31T12:00:00Z,:00
2013,US,10,00,2013-01-31T10:00:00Z,:00
2013,MQ,12,05,2013-01-31T12:00:00Z,:00
2013,UA,12,17,2013-01-31T12:00:00Z,:00
2013,UA,12,21,2013-01-31T12:00:00Z,:00
2013,DL,11,00,2013-01-31T11:00:00Z,:00
2013,EV,11,44,2013-01-31T11:00:00Z,:00
2013,DL,12,40,2013-01-31T12:00:00Z,:00
2013,DL,12,35,2013-01-31T12:00:00Z,:00
2013,AA,12,45,2013-01-31T12:00:00Z,:00
2013,MQ,11,50,2013-01-31T11:00:00Z,:00
2013,UA,12,35,2013-01-31T12:00:00Z,:00
2013,DL,12,00,2013-01-31T12:00:00Z,:00
2013,UA,11,14,2013-01-31T11:00:00Z,:00
2013,DL,12,50,2013-01-31T12:00:00Z,:00
2013,UA,12,55,2013-01-31T12:00:00Z,:00
2013,WN,12,50,2013-01-31T12:00:00Z,:00
2013,9E,13,00,2013-01-31T13:00:00Z,:00
2013,WN,13,00,2013-01-31T13:00:00Z,:00
2013,UA,12,53,2013-01-31T12:00:00Z,:00
2013,US,12,59,2013-01-31T12:00:00Z,:00
2013,EV,12,50,2013-01-31T12:00:00Z,:00
2013,9E,13,00,2013-01-31T13:00:00Z,:00
2013,AA,12,40,2013-01-31T12:00:00Z,:00
2013,EV,13,00,2013-01-31T13:00:00Z,:00
2013,US,13,00,2013-01-31T13:00:00Z,:00
2013,WN,12,30,2013-01-31T12:00:00Z,:00
2013,EV,12,15,2013-01-31T12:00:00Z,:00
2013,US,09,00,2013-01-31T09:00:00Z,:00
2013,EV,11,00,2013-01-31T11:00:00Z,:00
2013,B6,09,05,2013-01-31T09:00:00Z,:00
2013,EV,13,15,2013-01-31T13:00:00Z,:00
2013,FL,13,08,2013-01-31T13:00:00Z,:00
2013,B6,13,00,2013-01-31T13:00:00Z,:00
2013,VX,13,20,2013-01-31T13:00:00Z,:00
2013,UA,13,17,2013-01-31T13:00:00Z,:00
2013,MQ,12,20,2013-01-31T12:00:00Z,:00
2013,AA,12,45,2013-01-31T12:00:00Z,:00
2013,B6,12,50,2013-01-31T12:00:00Z,:00
2013,US,13,15,2013-01-31T13:00:00Z,:00
2013,DL,13,30,2013-01-31T13:00:00Z,:00
2013,B6,13,22,2013-01-31T13:00:00Z,:00
2013,B6,13,25,2013-01-31T13:00:00Z,:00
2013,B6,12,59,2013-01-31T12:00:00Z,:00
2013,EV,12,00,2013-01-31T12:00:00Z,:00
2013,B6,13,30,2013-01-31T13:00:00Z,:00
2013,EV,13,29,2013-01-31T13:00:00Z,:00
2013,EV,11,20,2013-01-31T11:00:00Z,:00
2013,AA,13,45,2013-01-31T13:00:00Z,:00
2013,B6,13,45,2013-01-31T13:00:00Z,:00
2013,UA,12,59,2013-01-31T12:00:00Z,:00
2013,EV,13,20,2013-01-31T13:00:00Z,:00
2013,UA,13,41,2013-01-31T13:00:00Z,:00
2013,UA,12,51,2013-01-31T12:00:00Z,:00
2013,DL,13,55,2013-01-31T13:00:00Z,:00
2013,EV,13,00,2013-01-31T13:00:00Z,:00
2013,UA,13,45,2013-01-31T13:00:00Z,:00
2013,EV,13,59,2013-01-31T13:00:00Z,:00
2013,B6,13,45,2013-01-31T13:00:00Z,:00
2013,MQ,13,50,2013-01-31T13:00:00Z,:00
2013,UA,11,16,2013-01-31T11:00:00Z,:00
2013,DL,14,00,2013-01-31T14:00:00Z,:00
2013,B6,14,05,2013-01-31T14:00:00Z,:00
2013,DL,13,50,2013-01-31T13:00:00Z,:00
2013,EV,10,50,2013-01-31T10:00:00Z,:00
2013,MQ,12,35,2013-01-31T12:00:00Z,:00
2013,UA,14,14,2013-01-31T14:00:00Z,:00
2013,FL,14,16,2013-01-31T14:00:00Z,:00
2013,DL,14,15,2013-01-31T14:00:00Z,:00
2013,UA,14,18,2013-01-31T14:00:00Z,:00
2013,B6,13,45,2013-01-31T13:00:00Z,:00
2013,MQ,14,20,2013-01-31T14:00:00Z,:00
2013,MQ,14,20,2013-01-31T14:00:00Z,:00
2013,EV,13,15,2013-01-31T13:00:00Z,:00
2013,AA,13,45,2013-01-31T13:00:00Z,:00
2013,B6,12,20,2013-01-31T12:00:00Z,:00
2013,UA,14,29,2013-01-31T14:00:00Z,:00
2013,US,14,00,2013-01-31T14:00:00Z,:00
2013,DL,14,30,2013-01-31T14:00:00Z,:00
2013,UA,14,20,2013-01-31T14:00:00Z,:00
2013,AA,14,30,2013-01-31T14:00:00Z,:00
2013,UA,13,20,2013-01-31T13:00:00Z,:00
2013,DL,14,35,2013-01-31T14:00:00Z,:00
2013,DL,14,35,2013-01-31T14:00:00Z,:00
2013,US,14,00,2013-01-31T14:00:00Z,:00
2013,UA,14,39,2013-01-31T14:00:00Z,:00
2013,UA,14,40,2013-01-31T14:00:00Z,:00
2013,UA,14,40,2013-01-31T14:00:00Z,:00
2013,UA,14,40,2013-01-31T14:00:00Z,:00
2013,DL,13,00,2013-01-31T13:00:00Z,:00
2013,B6,13,24,2013-01-31T13:00:00Z,:00
2013,UA,14,44,2013-01-31T14:00:00Z,:00
2013,B6,14,44,2013-01-31T14:00:00Z,:00
2013,US,14,45,2013-01-31T14:00:00Z,:00
2013,MQ,14,50,2013-01-31T14:00:00Z,:00
2013,MQ,14,50,2013-01-31T14:00:00Z,:00
2013,AA,14,50,2013-01-31T14:00:00Z,:00
2013,B6,14,15,2013-01-31T14:00:00Z,:00
2013,B6,13,03,2013-01-31T13:00:00Z,:00
2013,9E,14,45,2013-01-31T14:00:00Z,:00
2013,UA,13,29,2013-01-31T13:00:00Z,:00
2013,AA,13,30,2013-01-31T13:00:00Z,:00
2013,AA,14,55,2013-01-31T14:00:00Z,:00
2013,AA,14,55,2013-01-31T14:00:00Z,:00
2013,B6,14,45,2013-01-31T14:00:00Z,:00
2013,DL,15,00,2013-01-31T15:00:00Z,:00
2013,UA,14,55,2013-01-31T14:00:00Z,:00
2013,MQ,15,00,2013-01-31T15:00:00Z,:00
2013,US,15,00,2013-01-31T15:00:00Z,:00
2013,B6,14,59,2013-01-31T14:00:00Z,:00
2013,UA,15,00,2013-01-31T15:00:00Z,:00
2013,DL,14,52,2013-01-31T14:00:00Z,:00
2013,9E,15,05,2013-01-31T15:00:00Z,:00
2013,MQ,14,45,2013-01-31T14:00:00Z,:00
2013,UA,15,05,2013-01-31T15:00:00Z,:00
2013,AA,15,05,2013-01-31T15:00:00Z,:00
2013,EV,13,29,2013-01-31T13:00:00Z,:00
2013,MQ,15,10,2013-01-31T15:00:00Z,:00
2013,DL,15,00,2013-01-31T15:00:00Z,:00
2013,WN,13,30,2013-01-31T13:00:00Z,:00
2013,UA,15,10,2013-01-31T15:00:00Z,:00
2013,WN,13,55,2013-01-31T13:00:00Z,:00
2013,UA,12,59,2013-01-31T12:00:00Z,:00
2013,UA,15,06,2013-01-31T15:00:00Z,:00
2013,UA,14,45,2013-01-31T14:00:00Z,:00
2013,9E,15,20,2013-01-31T15:00:00Z,:00
2013,AA,15,30,2013-01-31T15:00:00Z,:00
2013,AA,15,30,2013-01-31T15:00:00Z,:00
2013,AA,15,30,2013-01-31T15:00:00Z,:00
2013,UA,14,57,2013-01-31T14:00:00Z,:00
2013,UA,15,06,2013-01-31T15:00:00Z,:00
2013,DL,15,20,2013-01-31T15:00:00Z,:00
2013,MQ,15,15,2013-01-31T15:00:00Z,:00
2013,AA,15,35,2013-01-31T15:00:00Z,:00
2013,9E,15,40,2013-01-31T15:00:00Z,:00
2013,MQ,15,10,2013-01-31T15:00:00Z,:00
2013,EV,15,07,2013-01-31T15:00:00Z,:00
2013,B6,14,35,2013-01-31T14:00:00Z,:00
2013,9E,15,50,2013-01-31T15:00:00Z,:00
2013,UA,15,15,2013-01-31T15:00:00Z,:00
2013,DL,15,45,2013-01-31T15:00:00Z,:00
2013,B6,14,59,2013-01-31T14:00:00Z,:00
2013,AA,15,45,2013-01-31T15:00:00Z,:00
2013,B6,14,59,2013-01-31T14:00:00Z,:00
2013,UA,15,49,2013-01-31T15:00:00Z,:00
2013,AA,15,50,2013-01-31T15:00:00Z,:00
2013,9E,15,30,2013-01-31T15:00:00Z,:00
2013,US,15,30,2013-01-31T15:00:00Z,:00
2013,UA,15,40,2013-01-31T15:00:00Z,:00
2013,DL,15,55,2013-01-31T15:00:00Z,:00
2013,B6,13,35,2013-01-31T13:00:00Z,:00
